transaction_id,product_id,sales_amount,sales_date
1,1007,369.61,2024-01-01
2,1000,179.81,2024-01-02
3,1000,209.78,2024-01-03
4,1004,71.53,2024-01-04
5,1005,93.93,2024-01-05
6,1002,415.4,2024-01-06
7,1008,296.57,2024-01-07
8,1009,175.39,2024-01-08
9,1005,403.4,2024-01-09
10,1003,130.79,2024-01-10
11,1006,488.26,2024-01-11
12,1007,178.96,2024-01-12
13,1008,175.28,2024-01-13
14,1005,162.84,2024-01-14
15,1005,69.83,2024-01-15
16,1007,64.46,2024-01-16
17,1004,327.57,2024-01-17
18,1002,438.81,2024-01-18
19,1002,397.36,2024-01-19
20,1005,79.14,2024-01-20
21,1001,277.34,2024-01-21
22,1005,61.74,2024-01-22
23,1005,32.19,2024-01-23
24,1007,331.63,2024-01-24
25,1006,272.22,2024-01-25
26,1007,50.19,2024-01-26
27,1008,27.12,2024-01-27
28,1005,494.98,2024-01-28
29,1002,24.71,2024-01-29
30,1009,227.82,2024-01-30
31,1002,257.26,2024-01-31
32,1000,67.47,2024-02-01
33,1004,92.84,2024-02-02
34,1003,182.38,2024-02-03
35,1008,383.22,2024-02-04
36,1008,258.47,2024-02-05
37,1004,322.57,2024-02-06
38,1009,492.74,2024-02-07
39,1003,386.32,2024-02-08
40,1006,222.84,2024-02-09
41,1005,228.76,2024-02-10
42,1003,313.2,2024-02-11
43,1009,336.03,2024-02-12
44,1001,255.35,2024-02-13
45,1000,325.98,2024-02-14
46,1003,21.53,2024-02-15
47,1003,220.52,2024-02-16
48,1000,146.68,2024-02-17
49,1005,73.3,2024-02-18
50,1003,58.78,2024-02-19
51,1000,305.56,2024-02-20
52,1000,266.56,2024-02-21
53,1000,134.26,2024-02-22
54,1007,240.77,2024-02-23
55,1009,251.19,2024-02-24
56,1007,105.55,2024-02-25
57,1001,329.53,2024-02-26
58,1006,392.65,2024-02-27
59,1007,397.82,2024-02-28
60,1007,305.21,2024-02-29
61,1009,260.7,2024-03-01
62,1006,39.89,2024-03-02
63,1004,151.04,2024-03-03
64,1000,55.7,2024-03-04
65,1008,482.27,2024-03-05
66,1006,76.19,2024-03-06
67,1001,84.37,2024-03-07
68,1005,445.89,2024-03-08
69,1001,472.52,2024-03-09
70,1000,385.26,2024-03-10
71,1006,12.65,2024-03-11
72,1001,10.66,2024-03-12
73,1001,195.27,2024-03-13
74,1004,80.26,2024-03-14
75,1004,19.01,2024-03-15
76,1006,237.39,2024-03-16
77,1000,472.1,2024-03-17
78,1007,168.67,2024-03-18
79,1002,333.96,2024-03-19
80,1003,329.6,2024-03-20
81,1008,133.03,2024-03-21
82,1003,328.71,2024-03-22
83,1009,114.04,2024-03-23
84,1004,69.78,2024-03-24
85,1006,353.68,2024-03-25
86,1003,65.59,2024-03-26
87,1000,498.49,2024-03-27
88,1008,99.89,2024-03-28
89,1003,301.13,2024-03-29
90,1008,211.57,2024-03-30
91,1005,71.93,2024-03-31
92,1000,23.64,2024-04-01
93,1002,315.14,2024-04-02
94,1001,405.31,2024-04-03
95,1008,422.59,2024-04-04
96,1000,246.53,2024-04-05
97,1008,390.95,2024-04-06
98,1008,339.7,2024-04-07
99,1007,364.88,2024-04-08
100,1007,251.37,2024-04-09
101,1000,320.37,2024-04-10
102,1007,404.71,2024-04-11
103,1009,204.96,2024-04-12
104,1002,404.93,2024-04-13
105,1006,300.09,2024-04-14
106,1000,91.29,2024-04-15
107,1000,22.1,2024-04-16
108,1009,187.75,2024-04-17
109,1004,277.88,2024-04-18
110,1004,421.51,2024-04-19
111,1007,72.47,2024-04-20
112,1006,402.1,2024-04-21
113,1007,432.87,2024-04-22
114,1005,83.84,2024-04-23
115,1005,427.28,2024-04-24
116,1001,495.81,2024-04-25
117,1005,366.15,2024-04-26
118,1004,394.54,2024-04-27
119,1002,497.26,2024-04-28
120,1005,306.69,2024-04-29
121,1007,160.86,2024-04-30
122,1008,420.39,2024-05-01
123,1000,311.1,2024-05-02
124,1002,294.79,2024-05-03
125,1002,134.28,2024-05-04
126,1007,380.6,2024-05-05
127,1000,50.02,2024-05-06
128,1004,462.9,2024-05-07
129,1002,169.65,2024-05-08
130,1001,72.61,2024-05-09
131,1007,226.76,2024-05-10
132,1002,30.81,2024-05-11
133,1006,345.47,2024-05-12
134,1000,452.33,2024-05-13
135,1005,420.26,2024-05-14
136,1002,72.41,2024-05-15
137,1007,71.87,2024-05-16
138,1005,408.58,2024-05-17
139,1001,462.88,2024-05-18
140,1005,235.73,2024-05-19
141,1006,254.5,2024-05-20
142,1004,165.95,2024-05-21
143,1002,448.19,2024-05-22
144,1003,326.0,2024-05-23
145,1003,151.24,2024-05-24
146,1005,156.4,2024-05-25
147,1009,446.69,2024-05-26
148,1000,16.68,2024-05-27
149,1003,168.14,2024-05-28
150,1009,281.63,2024-05-29
151,1003,82.63,2024-05-30
152,1009,55.13,2024-05-31
153,1000,409.49,2024-06-01
154,1008,448.26,2024-06-02
155,1003,413.57,2024-06-03
156,1006,450.41,2024-06-04
157,1002,281.02,2024-06-05
158,1009,408.01,2024-06-06
159,1002,198.18,2024-06-07
160,1007,336.47,2024-06-08
161,1007,494.53,2024-06-09
162,1000,120.61,2024-06-10
163,1009,201.05,2024-06-11
164,1001,245.22,2024-06-12
165,1007,77.63,2024-06-13
166,1000,49.71,2024-06-14
167,1007,416.56,2024-06-15
168,1007,488.63,2024-06-16
169,1001,208.32,2024-06-17
170,1003,52.95,2024-06-18
171,1005,42.25,2024-06-19
172,1008,446.75,2024-06-20
173,1007,237.27,2024-06-21
174,1007,166.81,2024-06-22
175,1006,243.47,2024-06-23
176,1008,165.97,2024-06-24
177,1001,249.63,2024-06-25
178,1002,431.18,2024-06-26
179,1009,300.23,2024-06-27
180,1007,350.38,2024-06-28
181,1005,188.69,2024-06-29
182,1009,371.87,2024-06-30
183,1008,336.64,2024-07-01
184,1009,68.59,2024-07-02
185,1003,290.59,2024-07-03
186,1007,135.8,2024-07-04
187,1009,404.01,2024-07-05
188,1002,218.71,2024-07-06
189,1002,497.4,2024-07-07
190,1007,55.33,2024-07-08
191,1004,392.37,2024-07-09
192,1002,340.11,2024-07-10
193,1009,386.07,2024-07-11
194,1000,160.69,2024-07-12
195,1002,251.11,2024-07-13
196,1008,400.29,2024-07-14
197,1004,123.95,2024-07-15
198,1009,120.76,2024-07-16
199,1001,280.01,2024-07-17
200,1006,266.55,2024-07-18
201,1001,148.31,2024-07-19
202,1003,156.06,2024-07-20
203,1006,146.14,2024-07-21
204,1003,388.04,2024-07-22
205,1006,329.43,2024-07-23
206,1006,417.88,2024-07-24
207,1000,487.98,2024-07-25
208,1005,242.34,2024-07-26
209,1008,42.68,2024-07-27
210,1001,33.57,2024-07-28
211,1002,154.88,2024-07-29
212,1009,466.95,2024-07-30
213,1004,266.37,2024-07-31
214,1008,143.18,2024-08-01
215,1003,205.59,2024-08-02
216,1000,303.31,2024-08-03
217,1003,329.95,2024-08-04
218,1005,85.42,2024-08-05
219,1004,488.75,2024-08-06
220,1000,276.94,2024-08-07
221,1003,76.49,2024-08-08
222,1005,447.88,2024-08-09
223,1009,46.57,2024-08-10
224,1009,454.79,2024-08-11
225,1003,498.32,2024-08-12
226,1008,353.21,2024-08-13
227,1004,387.52,2024-08-14
228,1007,175.28,2024-08-15
229,1008,471.37,2024-08-16
230,1009,269.56,2024-08-17
231,1004,368.87,2024-08-18
232,1005,462.81,2024-08-19
233,1000,487.84,2024-08-20
234,1006,418.27,2024-08-21
235,1003,158.48,2024-08-22
236,1001,483.61,2024-08-23
237,1004,317.78,2024-08-24
238,1002,466.01,2024-08-25
239,1005,341.29,2024-08-26
240,1007,160.55,2024-08-27
241,1006,191.31,2024-08-28
242,1002,279.73,2024-08-29
243,1007,397.11,2024-08-30
244,1001,165.81,2024-08-31
245,1009,294.07,2024-09-01
246,1008,179.36,2024-09-02
247,1003,409.73,2024-09-03
248,1000,238.7,2024-09-04
249,1007,47.59,2024-09-05
250,1006,91.37,2024-09-06
251,1004,39.94,2024-09-07
252,1009,254.66,2024-09-08
253,1004,62.11,2024-09-09
254,1006,65.93,2024-09-10
255,1004,471.11,2024-09-11
256,1007,437.6,2024-09-12
257,1005,231.52,2024-09-13
258,1004,493.04,2024-09-14
